Dex Number,Name,Type 01,Type 02,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525
4,Charmander,Fire,Fire,39,52,43,60,50,65,309
5,Charmeleon,Fire,Fire,58,64,58,80,65,80,405
6,Charizard,Fire,Flying,78,84,78,109,85,100,534
7,Squirtle,Water,Water,44,48,65,50,64,43,314
8,Wartortle,Water,Water,59,63,80,65,80,58,405
9,Blastoise,Water,Water,79,83,100,85,105,78,530
10,Caterpie,Bug,Bug,45,30,35,20,20,45,195
11,Metapod,Bug,Bug,50,20,55,25,25,30,205
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395
13,Weedle,Bug,Poison,40,35,30,20,20,50,195
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479
19,Rattata,Normal,Normal,30,56,35,25,35,72,253
20,Raticate,Normal,Normal,55,81,60,50,70,97,413
21,Spearow,Normal,Flying,40,60,30,31,31,70,262
22,Fearow,Normal,Flying,65,90,65,61,61,100,442
23,Ekans,Poison,Poison,35,60,44,40,54,55,288
24,Arbok,Poison,Poison,60,95,69,65,79,80,448
25,Pikachu,Electric,Electric,35,55,40,50,50,90,320
26,Raichu,Electric,Electric,60,90,55,90,80,110,485
27,Sandshrew,Ground,Ground,50,75,85,20,30,40,300
28,Sandslash,Ground,Ground,75,100,110,45,55,65,450
29,Nidoran♀ (female),Poison,Poison,55,47,52,40,40,41,275
30,Nidorina,Poison,Poison,70,62,67,55,55,56,365
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505
32,Nidoran♂ (male),Poison,Poison,46,57,40,40,40,50,273
33,Nidorino,Poison,Poison,61,72,57,55,55,65,365
34,Nidoking,Poison,Ground,81,102,77,85,75,85,505
35,Clefairy,Fairy,Fairy,70,45,48,60,65,35,323
36,Clefable,Fairy,Fairy,95,70,73,95,90,60,483
37,Vulpix,Fire,Fire,38,41,40,50,65,65,299
38,Ninetales,Fire,Fire,73,76,75,81,100,100,505
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435
